"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"29.10.1944 Unlauterer Wettbewerb";"Nein";305770;71174;37254;13577;1670;5221;1582;1433;3311;2416;4808;10769;13651;5749;4913;5691;947;27393;6327;27846;11346;4258;25103;4919;4408;10004;...
"03.05.1942 Reorganisation des Nationalrates";"Nein";408821;70395;83206;15160;3003;5024;1734;1435;3536;2106;11322;15077;11417;5679;7180;4143;1301;32884;12582;40797;17484;8354;32365;8020;5623;8994;...
"25.01.1942 Volkswahl Bundesrat";"Nein";524127;85320;63645;29713;3856;7537;3023;2782;4982;5055;22164;17644;14780;8950;8433;7036;1998;44532;14777;41533;21578;15477;54654;17745;11370;15543;...
"09.03.1941 Neuordnung Alkoholwesen";"Nein";452873;89921;63376;8977;1713;2128;660;608;4264;1635;11306;11545;30287;8568;9842;5980;1000;32509;16031;28799;20268;8801;53892;10969;14678;15116;...
"01.12.1940 Vorunterricht in der Armee";"Nein";434817;60327;55719;22438;3984;8464;2928;2485;3920;4116;16260;13358;10014;7195;6083;6741;2325;37632;13211;32069;16502;10314;56741;19377;9876;12738;...
"03.12.1939 Dienstverhältnis und Versicherung Bundespersonal";"Nein";481035;82890;57043;21335;1885;7164;2800;2210;4542;3785;16028;17141;15066;8019;7423;7600;1742;38357;11877;41016;21125;9737;59796;16381;12724;13349;...
"04.06.1939 Armee und Arbeitslosigkeit";"Nein";199540;22273;17452;5742;653;2094;956;688;1133;805;7902;4016;5164;4861;2073;3529;801;16206;3897;18972;6765;1442;48837;5498;7888;9893;...
"22.01.1939 Einschränkung Dringlichkeitsklausel";"Nein";155032;34442;14914;3223;931;1789;444;511;1775;519;2686;3819;2112;2519;2044;2620;831;15146;3567;19345;11992;1478;24252;2575;1278;220;...
"22.01.1939 Verfassungsgerichtsbarkeit";"Nein";347340;73216;36553;9208;2478;3014;972;1102;2943;1539;10336;9323;6277;5817;7201;4088;1626;34246;8480;39886;17952;4739;49344;6947;4740;5313;...
"27.11.1938 Übergangsordnung Finanzhaushalt";"Nein";195538;25697;21140;5724;991;2568;775;595;1247;1353;5464;4520;9152;5851;2303;3503;685;14806;4327;17313;8173;1737;33546;4142;4018;15908;...
