"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"20.05.1984 Gegen den Ausverkauf der Heimat";"Gültige Stimmzettel";1712951;337159;244773;86440;9073;28666;6454;8591;9520;23531;42634;68503;59654;64740;30854;15000;3535;92424;37228;111402;46926;68730;112908;59835;50539;79831;14001
"20.05.1984 Banken-Initiative";"Gültige Stimmzettel";1723601;340690;245584;86871;8997;28777;6462;8612;9537;23561;42920;68579;60221;65036;31021;15013;3538;92595;37245;111917;47141;69147;113995;60026;51132;80879;14105
"26.02.1984 Zivildienst-Initiative";"Gültige Stimmzettel";2132895;397416;329495;106913;11940;32548;9076;11911;12724;29723;64628;83805;70859;77888;34224;17881;4653;126011;48288;148949;64797;80480;151998;62758;50558;83019;20353
"26.02.1984 Einführung Autobahnvignette";"Gültige Stimmzettel";2137548;398830;330558;107217;11965;32620;9101;11972;12746;29894;64716;84121;70946;78214;34126;17888;4655;126106;48536;149298;64997;80772;151880;62876;50598;82613;20303
"26.02.1984 Erhebung Schwerverkehrsabgae";"Gültige Stimmzettel";2137245;399320;330306;107205;11991;32609;9086;11957;12742;30080;64601;84110;70956;78146;34097;17878;4647;126019;48557;149291;64939;80863;151735;62768;50553;82454;20335
"04.12.1983 Erleichterung Einbürgerungen";"Gültige Stimmzettel";1437922;311757;240919;60596;7112;21449;5184;6275;7363;18733;33687;61175;47809;40513;29072;10454;2681;69102;32170;83894;41530;53351;86291;55951;35558;65595;9701
"04.12.1983 Bürgerrechtsregelung";"Gültige Stimmzettel";1435538;310454;240830;60490;7175;21383;5170;6350;7372;18702;33767;61096;47667;40186;28751;10441;2711;69166;32185;83527;41522;53486;86383;55901;35431;65683;9709
"27.02.1983 Energieartikel";"Gültige Stimmzettel";1275532;278858;181546;74716;8466;20905;5715;7641;7679;20421;30979;54590;41156;47422;28024;12168;3044;79233;32348;92958;46829;40165;62712;32670;19985;35029;10273
"27.02.1983 Neuregelung Treibstoffzölle";"Gültige Stimmzettel";1289005;283180;182890;75450;8608;21013;5771;7695;7714;20658;31233;54806;41464;47718;28948;12254;3064;79947;32775;93821;47281;40447;63464;32847;20109;35490;10358
"28.11.1982 Gegenentwurf zur Preisüberwachungs-Initiative";"Gültige Stimmzettel";1302194;268023;191809;61048;8544;19299;4156;6192;7271;18392;28794;52315;40042;42877;28603;11364;2479;73328;33250;82887;45398;45969;123882;28344;29831;39180;8917
"28.11.1982 Preisüberwachungs-Initiative";"Gültige Stimmzettel";1302194;268023;191809;61048;8544;19299;4156;6192;7271;18392;28794;52315;40042;42877;28603;11364;2479;73328;33250;82887;45398;45969;123882;28344;29831;39180;8917
