"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"22.09.2002 Goldinitiative";"Abgegebene Stimmen";2143027;405221;286240;109640;10002;42250;10028;19115;10151;36475;64425;78972;62079;82087;32297;17811;4231;125029;49518;151313;65182;71798;166865;62107;52934;110402;16855
"02.06.2002 Für Mutter und Kind";"Abgegebene Stimmen";1972596;351076;258053;116198;9040;41203;9690;12637;11015;32779;55078;78279;55498;74491;30547;16051;3742;114414;45411;127685;57948;52247;179446;58864;54967;111511;14726
"02.06.2002 Fristenregelung";"Abgegebene Stimmen";1978123;352286;258052;116320;9068;41390;9708;12661;10990;32865;55206;78494;56782;74733;30613;16149;3735;115133;45614;128081;58047;52247;179691;58873;55131;111511;14743
"03.03.2002 Kürzere Arbeitszeit";"Abgegebene Stimmen";2750779;476185;390964;155172;15030;60108;15012;19053;14702;44696;90085;100869;73675;104673;34951;23730;6672;176458;71218;207064;84015;97914;171711;91924;68879;130228;25791
"03.03.2002 UNO-Beitritt";"Abgegebene Stimmen";2758925;478838;390991;155413;15120;60237;15038;19106;14727;44708;90200;101022;74200;105194;35009;23760;6676;177793;72076;208083;84274;97918;171786;91942;68738;130228;25848
"02.12.2001 Kapitalgewinnsteuer";"Abgegebene Stimmen";1783571;322180;262460;96915;9974;40093;9809;11271;8765;29220;60165;61996;51098;67055;28556;15530;3715;106472;42689;118196;52316;61943;108720;56301;50302;90738;17092
"02.12.2001 Ziviler Friedensdienst";"Abgegebene Stimmen";1783860;321889;262462;96982;9980;40107;9806;11282;8768;29206;60652;62007;51022;67021;28565;15549;3711;106525;42675;118235;52285;61944;108803;56311;50248;90738;17087
"02.12.2001 Schweiz ohne Armee";"Abgegebene Stimmen";1787298;323163;262487;97117;10169;40166;9839;11281;8769;29265;60747;62078;51185;67180;28614;15607;3717;106931;42986;118492;52321;61941;108807;56303;50295;90738;17100
"02.12.2001 Energie statt Arbeit besteuern";"Abgegebene Stimmen";1783507;321678;262485;96953;9972;40106;9805;11271;8764;29170;60668;61986;51014;67051;28547;15546;3712;106439;42670;118222;52243;61944;108878;56302;50232;90738;17111
"02.12.2001 Schuldenbremse";"Abgegebene Stimmen";1782381;321040;262487;96912;9961;40091;9812;11262;8764;29183;60657;62035;50917;66911;28588;15518;3706;106403;42625;118135;52244;61944;108795;56303;50276;90738;17074
"10.06.2001 Aufhebung Bistumsartikel";"Abgegebene Stimmen";1975658;357095;277445;111079;10471;44525;11120;13236;9868;32166;67535;81101;60712;74382;30556;17976;4656;123397;49424;136253;60368;53590;139094;51666;51365;92044;14534
"10.06.2001 Militärgesetz: Ausbildungszusammenarbeit";"Abgegebene Stimmen";1996730;365218;277493;112333;10686;44918;11180;13355;9908;32334;67758;81589;61637;75303;30618;18374;4680;126097;51145;138511;60886;53591;139158;51671;51654;92044;14589
"10.06.2001 Militärgesetz: Bewaffnung";"Abgegebene Stimmen";1997658;365379;277514;112353;10701;44906;11179;13350;9908;32370;67918;81671;61760;75341;30682;18391;4681;126254;51242;138494;60830;53592;139170;51674;51654;92044;14600
