"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"26.09.2004 Erleichterte Einbürgerung von Jugendlichen der zweiten Generation";"Ja";1106529;203962;157494;43635;3332;12862;3526;4659;3400;14945;41622;30918;34895;39305;11140;7212;1302;49479;22717;59184;21825;36386;131306;34957;39083;85126;12257
"16.05.2004 Steuerpaket";"Ja";821475;161767;91820;49399;3136;19885;3802;6312;3540;16122;20398;27057;15680;27784;11731;9183;2060;61242;16057;68011;30219;31514;68235;15177;17073;39447;4824
"16.05.2004 Anhebung der Mehrwertsteuer für AHV/IV";"Ja";756550;152306;114614;37778;2986;11523;2546;3177;3035;10832;19988;22389;25273;30678;9082;6099;1044;43150;15746;48064;18473;25427;73198;16639;17834;39660;5009
"16.05.2004 11. AHV-Revision";"Ja";772773;161809;103222;46958;3370;17744;4032;5855;3730;14781;19089;25008;16821;26485;10344;8260;1967;54704;18111;59858;25658;23453;57960;14648;12604;32679;3623
"08.02.2004 Initiative zur Verwahrung gefährlicher Straftäter";"Ja";1198867;200251;153267;63608;8349;25674;5710;7976;6746;18444;37010;48662;28886;46439;18472;11533;2169;75651;27040;82403;32162;63788;90936;36753;35027;62985;8926
"08.02.2004 Mietrecht";"Ja";755561;143806;104501;46262;5157;19701;4266;5941;4689;14860;18479;31512;15819;31928;10918;8947;1726;50276;21307;62439;23732;36055;30998;17167;12203;29253;3619
"08.02.2004 Gegenentwurf zur Avanti-Initiative";"Ja";800632;142780;104149;43242;3700;17288;3856;5060;3395;14637;23699;29344;21009;32354;9764;6849;1211;42924;11847;60680;18726;38440;72633;16494;22080;49234;5237
"18.05.2003 Lehrstelleninitiative";"Ja";722931;141511;104936;29452;2917;10649;2137;2401;2507;8584;25643;24384;23564;26932;10285;4384;693;33855;15607;39902;15374;27505;69747;18935;24970;46845;9212
"18.05.2003 Moratorium Plus";"Ja";955624;182444;134691;44636;4981;15984;4468;5413;4809;13971;31456;32010;35242;44114;14229;7146;1377;52273;22779;53716;23773;35244;81238;23043;25798;51428;9361
"18.05.2003 Strom ohne Atom";"Ja";783586;143405;106600;36681;4334;12956;3771;5052;4242;10842;25721;24235;32109;37395;11333;5991;1097;41551;19136;39433;18213;31152;69451;21226;22841;46002;8817
"18.05.2003 Gleiche Rechte für Behinderte";"Ja";870249;155123;119438;36024;3724;13762;3118;3898;3931;10716;35326;30025;25742;30110;11917;4708;880;38899;21550;51419;18476;38898;80792;31564;25503;63212;11494
"18.05.2003 Gesundheitsinitiative";"Ja";625073;114792;88948;24577;2548;8145;1644;1937;2274;6378;22846;20886;22259;21694;9005;3334;567;28022;12690;33288;12072;29468;66031;18435;23214;40785;9234
"18.05.2003 Sonntagsinitiative";"Ja";881953;175722;138535;47571;4456;16295;3847;4692;5038;14478;26167;32438;27037;32965;11709;6984;1255;50936;20098;58832;23501;30781;64615;17988;19534;39524;6955
"18.05.2003 Ja zu fairen Mieten";"Ja";749388;134356;105884;35056;2966;9607;2026;2846;2690;8531;28430;24486;28971;27518;9521;3702;692;34497;13159;39370;14782;29305;81273;19055;27502;53803;9360
"18.05.2003 Zivilschutz";"Ja";1829339;325673;269771;98005;7888;31646;8086;11523;8361;29333;63265;71403;49791;72125;22115;14716;3141;105853;39800;130256;49766;56500;157708;50099;48408;88967;15140
"18.05.2003 Armee XXI";"Ja";1718452;300256;256677;93840;7440;28889;7756;10994;7780;27925;61400;68928;45901;67888;18721;14027;3031;99536;37278;124444;47086;51011;150198;50310;45858;76537;14741
"09.02.2003 Kantonale Beiträge an Spitalbehandlungen";"Ja";1028673;204513;126858;53956;5332;22966;4491;5911;3530;15937;25685;34025;39644;39247;17092;11487;1758;60489;19657;67270;40770;27989;76628;19753;31945;64671;7069
"09.02.2003 Änderung Volksrechte";"Ja";934005;172385;120059;49449;4312;19659;3795;5425;2646;14592;26380;32983;37369;35992;12175;9836;1481;56681;17128;61387;39169;24275;83180;16673;30347;49288;7339
"24.11.2002 Arbeitslosenversicherungsgesetz";"Ja";1234793;237139;171217;73014;5298;27974;6108;7392;6904;21453;34138;44690;34157;47694;15893;11892;3196;84641;29945;88374;40150;33468;95865;32304;26371;48303;7213
"24.11.2002 Gegen Asylrechtsmissbrauch";"Ja";1119342;211091;153136;58734;5331;28907;5104;6568;7187;17297;29472;45368;26163;43617;15591;11219;2868;86093;25320;88656;41768;30924;77560;28641;23784;41329;7614
"22.09.2002 Elektrizitätsmarktgesetz";"Ja";972770;191946;139334;60320;5049;20958;5465;9679;4432;20765;26478;37670;30971;43452;12898;7808;1976;57902;24752;74896;28849;26298;50988;25073;19352;39692;5767
"22.09.2002 Gold für AHV, Kantone und Stiftung";"Ja";984537;195958;138808;52905;4578;15493;4089;7545;3697;17364;29267;34374;33030;37396;13677;6853;1474;51472;22074;61071;26208;32204;77043;26597;27446;55060;8854
"22.09.2002 Goldinitiative";"Ja";984058;182231;132388;46757;4551;22795;3927;7218;5748;15255;28630;38225;27277;39111;13851;8433;1908;62554;22527;77548;33076;39146;72116;24094;22060;45621;7011
"02.06.2002 Für Mutter und Kind";"Ja";352432;50188;48509;26618;2618;10043;2438;2533;1923;5302;10047;13442;8169;9919;6503;3142;1108;27002;10020;22962;13707;11922;22574;18440;7529;12782;2992
"02.06.2002 Fristenregelung";"Ja";1399545;267154;187251;68190;4458;22958;5294;7737;7614;22948;38329;53935;45614;58651;19379;10356;1477;67221;28350;87173;33699;32143;151212;26430;46437;95631;9904
"03.03.2002 Kürzere Arbeitszeit";"Ja";686935;119631;90294;29135;2763;9054;2211;2799;2440;8750;27630;23456;22788;25259;8398;4321;691;34817;13667;44367;14341;36135;57212;21155;25932;49009;10680
"03.03.2002 UNO-Beitritt";"Ja";1489110;281877;219081;79085;5975;22702;6705;8691;5826;24527;52490;53074;47302;61192;15532;10739;2157;82334;32305;101277;35572;39913;107584;46786;44272;86014;16098
"02.12.2001 Kapitalgewinnsteuer";"Ja";594927;106481;106929;29564;2873;7274;2351;2419;2776;7037;21586;22381;19220;20583;9239;5168;831;36321;13522;33171;15625;16340;38236;16747;20512;30166;7575
"02.12.2001 Ziviler Friedensdienst";"Ja";404870;78073;54096;17227;1488;5560;1481;1446;1280;5155;14723;11242;14774;15358;6485;2637;384;17726;8266;20039;8420;16304;32765;11786;16800;34848;6507
"02.12.2001 Schweiz ohne Armee";"Ja";384905;72078;50973;16656;1290;5353;1470;1523;1176;5281;14179;10891;15026;15157;5404;2719;425;19238;7617;20100;8169;14760;29141;10804;15432;33169;6874
"02.12.2001 Energie statt Arbeit besteuern";"Ja";397747;84783;62441;19269;1939;6186;1597;1518;1654;5216;11077;12592;15299;15516;7208;3208;525;21429;9225;21923;10874;13664;23933;9258;10608;22824;3981
"02.12.2001 Schuldenbremse";"Ja";1472259;266604;221078;84348;7829;33533;8329;9776;7474;25615;50869;53170;42195;57131;20802;13438;3278;94209;35577;101009;45006;44258;86976;43076;39490;64785;12404
"10.06.2001 Aufhebung Bistumsartikel";"Ja";1194556;216627;157062;70906;6434;27981;6902;8502;5617;21124;45355;54941;38585;47831;13987;11452;3027;81939;29954;84857;37246;34869;72378;34088;29199;44193;9500
"10.06.2001 Militärgesetz: Ausbildungszusammenarbeit";"Ja";1001274;192150;157416;55535;4516;17406;4991;6128;4470;17239;34986;45663;31402;39496;12644;8393;1759;58537;22564;70196;27544;19243;72154;23034;26042;41476;6290
"10.06.2001 Militärgesetz: Bewaffnung";"Ja";1002297;191472;158670;55862;4608;17551;5174;6154;4437;17390;34709;46133;32323;40564;12850;8315;1734;58564;22623;70105;27489;19440;69827;23217;25437;41247;6402
"04.03.2001 Strassen für alle";"Ja";525609;108084;80545;24524;2330;6735;1896;2268;2683;6875;12690;17940;25059;23136;7709;4001;626;27952;15489;31236;12633;16041;30081;16098;13036;32642;3300
"04.03.2001 Arzneimittel-Initiative";"Ja";791589;156233;113278;43382;3985;16409;3437;4426;4176;13710;22732;34963;20307;30383;11711;6082;1458;51258;20179;61831;25062;30865;37388;22794;18149;32238;5153
"04.03.2001 Ja zu Europa!";"Ja";597217;102366;85036;21169;1220;5509;1448;1759;1722;7003;26359;18715;20336;22572;5673;2898;400;22522;8890;31119;10192;14999;65595;23789;31412;53152;11362
"26.11.2000 Bundespersonalgesetz";"Ja";1253995;234621;193905;68711;5663;24486;5777;8506;6471;22992;39657;49943;41441;50435;18223;11572;2578;79391;26569;95750;40022;36120;73025;36260;19152;50254;12471
"26.11.2000 Spitalkosteninitiative";"Ja";343008;52945;41936;17471;1769;7272;1262;1892;1600;4840;12678;12373;11543;11137;5896;2929;539;18768;8633;24276;11806;23827;23406;13250;7534;17413;6013
"26.11.2000 Umverteilungsinitiative";"Ja";723047;121163;94182;28411;1798;9162;1817;2483;2548;8904;30065;23191;27546;26665;9119;4542;782;32100;13558;40296;15825;38357;66686;26644;21434;58498;17271
"26.11.2000 Rentenalter ab 62 für Frau und Mann";"Ja";885772;131791;124797;34727;3642;12868;2744;3670;3622;10568;39878;30026;26460;29764;12472;5542;921;41539;17276;53796;21929;53380;80194;38144;25918;60544;19560
"26.11.2000 Flexibilisierung der AHV";"Ja";756337;112453;104084;28500;2786;9590;2063;2862;2914;8619;34103;24912;23013;25926;9674;5633;767;34104;14220;43519;17819;49979;71027;31658;23853;54661;17598
"24.09.2000 Konstruktives Referendum";"Ja";676776;125995;93223;35036;2912;12028;2642;3570;3145;8602;22580;27413;22336;26370;9128;5223;900;40204;14303;46686;17940;27256;46893;18979;16293;41057;6062
"24.09.2000 Regelung der Zuwanderung";"Ja";754626;136671;109637;47916;4094;18773;3774;4846;4577;11417;22377;34483;22709;30191;10881;6746;1539;54354;14167;69718;26443;27364;33321;17816;10853;25366;4593
"24.09.2000 Umweltabgabe";"Ja";898050;192817;142716;47000;3596;13937;3709;4139;3756;14000;24016;29971;34410;36505;11259;7058;1329;57130;24008;55342;24470;27943;52402;21535;14003;44967;6032
"24.09.2000 Förderabgabe";"Ja";922481;190463;144440;47387;3850;14166;3896;4353;3913;13901;27944;28500;33044;36445;10687;7223;1401;56052;24084;54849;22997;28636;62032;25346;16542;53327;7003
"24.09.2000 Solarinitiative";"Ja";636848;142889;98873;31095;2564;8816;2414;2876;2676;8840;14437;20543;25432;27331;8825;5016;908;35293;15975;35654;16151;19522;40675;16188;12553;36730;4572
"21.05.2000 Bilaterale Abkommen mit der EU";"Ja";1497093;275570;204882;78402;6730;20865;5839;8119;6643;24199;52533;53686;47128;59983;18645;11886;2421;79227;30170;93325;36569;42577;133336;49540;42805;94597;17416
"12.03.2000 Verkehrshalbierungs-Initiative";"Ja";415605;92046;67945;21706;2680;5990;1457;1885;2067;6131;9104;14393;20674;16438;6641;3945;617;25264;9687;26052;10532;13284;20760;6092;6456;21213;2546
"12.03.2000 Menschenwürdige Fortpflanzung";"Ja";539795;102051;82378;33514;4378;12828;2613;2831;2474;8842;13440;21633;21527;20322;10249;5839;1251;41514;15013;41034;18349;21244;18844;12570;7166;14431;3460
"12.03.2000 Quoten-Initiative";"Ja";346314;66411;47248;16694;1670;4719;1134;1251;1305;4403;11298;10672;15853;12214;6215;2273;302;16859;6945;18842;7767;10453;29548;9405;9088;29571;4174
"12.03.2000 Beschleunigungs-Initiative";"Ja";573038;109763;75768;31108;3343;13986;2467;3128;2693;8668;16425;21537;19002;21593;9811;5327;1015;39532;12623;45702;18093;21743;36365;14080;11552;23286;4428
"12.03.2000 Justizreform";"Ja";1610107;291336;249824;87847;8847;31283;7060;9881;7834;24504;53243;60021;53617;63380;22944;14404;3363;102900;35217;111094;45740;49432;105384;41822;29748;85262;14120
"13.06.1999 Mutterschaftsversicherung";"Ja";822458;140106;114937;32408;2571;7940;2982;3064;2298;10680;35179;23482;28678;29149;9425;4595;684;32734;14527;39826;14961;39049;88050;30926;25927;74051;14229
"13.06.1999 Invalidenversicherung";"Ja";620797;111599;86803;34377;3358;10657;3114;3897;2721;10529;20741;22590;21886;26511;7634;6284;1415;43810;13821;44786;16566;21035;48458;16637;12210;24937;4421
"13.06.1999 Verschreibung von Heroin";"Ja";1128393;230838;167518;61988;5708;18817;6182;6906;5167;21111;28899;47108;45295;53912;16402;9905;2174;69757;26764;78256;31802;30820;57513;21903;16873;57175;9600
"13.06.1999 Massnahmen Asyl- und Ausländerbereich";"Ja";1447984;265426;226256;83542;7669;27691;7888;9652;7962;25609;41015;60013;45193;62485;19931;14429;3579;102984;32203;112087;49376;42809;79724;34068;21308;55166;9919
"13.06.1999 Asylgesetz";"Ja";1443137;266530;226364;82584;7411;27145;7782;9350;7870;25208;41816;59079;45036;62269;20483;14170;3562;101698;31890;107995;49017;42724;81220;34155;21927;55666;10186
"18.04.1999 Neue Bundesverfassung";"Ja";969310;189439;131661;67814;3490;12036;4892;4641;2934;14693;27564;40172;38672;36998;12098;7946;1549;49210;20083;57779;24522;82443;47750;18905;17907;47438;6674
"07.02.1999 Raumplanungsgesetz";"Ja";952482;170434;137841;61858;3779;16081;4384;5902;3900;15633;31737;34474;27492;34640;12126;6823;1473;60497;19980;70515;31130;42173;67242;25717;15010;46121;5520
"07.02.1999 Wohneigentums-Initiative";"Ja";721717;127859;91782;42208;2847;14488;3284;4877;4206;10424;18936;31156;11677;32368;11109;6523;1567;51190;15654;75860;31199;30103;41844;16486;9511;31240;3319
"07.02.1999 Transplantationsmedizin";"Ja";1501925;279601;221743;89029;5993;22634;6700;9033;6641;22621;44273;57403;48987;62267;21734;12657;2954;96843;33335;110353;52492;59853;93714;32929;23580;75973;8583
"07.02.1999 Wählbarkeit in den Bundesrat";"Ja";1287081;266394;200217;78730;4489;17874;5338;7750;5362;20351;28000;50956;45242;56382;19430;10450;2146;84198;25017;98053;44965;36907;75057;17446;16760;65181;4386
"29.11.1998 Arbeitsgesetz";"Ja";1072978;222814;159901;57129;5772;16326;6356;6450;4995;16739;26800;39325;34698;41125;19129;9449;2103;63656;27557;85046;31262;37687;62227;30236;14618;44946;6632
"29.11.1998 Vernünftige Drogenpolitik";"Ja";453451;101337;67937;21954;2619;7337;2647;2817;1936;6810;9988;18139;18462;18890;9467;3776;616;27260;11965;35424;13269;12048;20220;9499;4667;21049;3318
"29.11.1998 Getreideartikel";"Ja";1318585;244467;195272;69926;6604;18582;7206;7774;5736;19853;39742;48273;44792;50926;20083;11163;2465;77637;31351;98364;35405;50692;87674;37717;21308;72825;12748
"29.11.1998 Finanzierung öffentlicher Verkehr (FinöV)";"Ja";1104294;204957;163828;57961;6672;14164;5179;6244;4167;16503;30938;38172;40795;42734;16167;7632;1299;58749;27752;73130;26720;47127;77388;40953;18115;65337;11611
"27.09.1998 10. AHV-Revision ohne Erhöhung Rentenalter";"Ja";973966;148633;139594;49716;5000;12210;3359;4224;4068;12317;43607;35774;29518;35386;13608;6899;1343;52791;22264;61497;24004;46381;80890;41243;27872;53972;17796
"27.09.1998 Kleinbauern-Initiative";"Ja";535436;100969;94539;26281;3222;7849;1538;2325;2636;7333;12870;25525;20289;21590;7759;4622;783;36663;14022;40294;13300;25799;22289;11508;6685;20481;4265
"27.09.1998 Leistungsabhängige Schwerverkehrsabgabe (LSVA)";"Ja";1355735;254691;205371;74054;7961;17154;4988;8120;5777;21679;36768;53065;49313;56532;18395;10865;2080;80359;34113;91515;36190;51340;91397;42436;23478;65225;12869
"07.06.1998 S.o.S.-Initiative";"Ja";451089;87175;63500;21566;1797;6709;1570;2133;2715;6098;10405;18161;20266;17944;8010;3723;560;24582;10959;27544;11626;17219;27829;15481;8450;29955;5112
