"Datum und Vorlage";"Ergebnisse";"Schweiz";"Zürich";"Bern / Berne";"Luzern";"Uri";"Schwyz";"Obwalden";"Nidwalden";"Glarus";"Zug";"Fribourg / Freiburg";"Solothurn";"Basel-Stadt";"Basel-Landschaft";"Schaffhausen";"Appenzell Ausserrhoden";"Appenzell Innerrhoden";"St. Gallen";"Graubünden / Grigioni / Grischun";"Aargau";"Thurgau";"Ticino";"Vaud";"Valais / Wallis";"Neuchâtel";"Genève";"Jura"
"22.09.1985 Koordination Schuljahresbeginn";"Stimmberechtigte";4160547;729583;637314;199853;22998;65697;18006;21327;23316;50031;126667;146983;136313;148047;45444;32205;8838;251308;109141;296617;116736;164478;326681;150395;98229;191228;43112
"09.06.1985 Selbstversorgung mit Brotgetreide";"Stimmberechtigte";4144312;727436;635626;198843;22901;65380;17904;21139;23128;49769;125879;146444;136463;147273;45288;32006;8840;249987;108890;295010;116295;162454;325892;149596;98264;190778;42827
"09.06.1985 Neuverteilung Alkoholabgabe";"Stimmberechtigte";4144312;727436;635626;198843;22901;65380;17904;21139;23128;49769;125879;146444;136463;147273;45288;32006;8840;249987;108890;295010;116295;162454;325892;149596;98264;190778;42827
"09.06.1985 Kantonsanteil Stempelabgaben";"Stimmberechtigte";4144312;727436;635626;198843;22901;65380;17904;21139;23128;49769;125879;146444;136463;147273;45288;32006;8840;249987;108890;295010;116295;162454;325892;149596;98264;190778;42827
"09.06.1985 Recht auf Leben";"Stimmberechtigte";4144312;727436;635626;198843;22901;65380;17904;21139;23128;49769;125879;146444;136463;147273;45288;32006;8840;249987;108890;295010;116295;162454;325892;149596;98264;190778;42827
"10.03.1985 Verlängerung bezahlte Ferien";"Stimmberechtigte";4134052;726118;634409;197945;22843;64867;17821;21035;23145;49426;125209;146069;136703;146668;45236;31901;8798;249229;109367;293956;115808;161655;325530;149477;97955;190280;42602
"10.03.1985 Ausbildungsbeiträge";"Stimmberechtigte";4134052;726118;634409;197945;22843;64867;17821;21035;23145;49426;125209;146069;136703;146668;45236;31901;8798;249229;109367;293956;115808;161655;325530;149477;97955;190280;42602
"10.03.1985 Beiträge Gesundheitswesen";"Stimmberechtigte";4134052;726118;634409;197945;22843;64867;17821;21035;23145;49426;125209;146069;136703;146668;45236;31901;8798;249229;109367;293956;115808;161655;325530;149477;97955;190280;42602
"10.03.1985 Beiträge Primarschulunterricht";"Stimmberechtigte";4134052;726118;634409;197945;22843;64867;17821;21035;23145;49426;125209;146069;136703;146668;45236;31901;8798;249229;109367;293956;115808;161655;325530;149477;97955;190280;42602
"02.12.1984 Hilfe für Opfer von Gewaltverbrechen";"Stimmberechtigte";4123190;724492;633479;197394;22791;64488;17738;20934;23317;49172;124785;146000;136793;146242;45061;31737;8833;248424;108246;292916;115269;161337;324493;148606;98028;190049;42566
