Zürich;Bern / Berne;Luzern;Uri;Schwyz;Obwalden;Nidwalden;Glarus;Zug;Fribourg / Freiburg;Solothurn;Basel-Stadt;Basel-Landschaft;Schaffhausen;Appenzell Ausserrhoden;Appenzell Innerrhoden;St. Gallen;Graubünden / Grigioni / Grischun;Aargau;Thurgau;Ticino;Vaud;Valais / Wallis;Neuchâtel;Genève
841024;699548;246160;25672;93608;23817;29455;25438;69992;172920;168698;113977;183652;48678;36936;10847;298962;132316;378678;152477;204551;387762;196328;106858;231310
838399;698194;245338;25631;93411;23778;29468;25346;70041;172276;168513;113845;183260;48514;36860;10789;298206;132263;377146;152022;203880;385903;195886;106795;229380
835108;697168;244576;25651;93033;23679;29283;25290;69842;171873;168310;113972;182973;48495;36798;10759;297601;132021;376440;151724;203681;384327;195203;106721;228778
835108;697168;244576;25651;93033;23679;29283;25290;69842;171873;168310;113972;182973;48495;36798;10759;297601;132021;376440;151724;203681;384327;195203;106721;228778
833225;696731;244172;25633;92774;23599;29214;25291;69572;171441;168160;114106;182648;48454;36751;10714;297421;131926;375133;151323;202857;383570;194821;106702;228264
833225;696731;244172;25633;92774;23599;29214;25291;69572;171441;168160;114106;182648;48454;36751;10714;297421;131926;375133;151323;202857;383570;194821;106702;228264
833225;696731;244172;25633;92774;23599;29214;25291;69572;171441;168160;114106;182648;48454;36751;10714;297421;131926;375133;151323;202857;383570;194821;106702;228264
829938;694636;243236;25642;92247;23478;29109;25107;69426;170540;167859;114494;182294;48310;36590;10653;296340;131903;373871;150731;202590;382341;194044;106493;226858
826793;692985;242163;25648;91825;23307;29029;25120;69202;169278;167555;114888;181776;48292;36557;10580;295359;131220;371902;149726;202140;380184;193347;106076;225644
826793;692985;242163;25648;91825;23307;29029;25120;69202;169278;167555;114888;181776;48292;36557;10580;295359;131220;371902;149726;202140;380184;193347;106076;225644
825133;692461;241734;25665;91722;23261;28926;25077;68968;168960;167494;114965;181475;48266;36362;10572;295051;131138;371089;149396;202002;379393;193090;106131;225152
822388;690777;240825;25577;91207;23200;28764;25037;68641;168096;167002;115140;181146;48203;36199;10472;294030;131002;369928;148682;201511;378421;192368;105852;223612
822388;690777;240825;25577;91207;23200;28764;25037;68641;168096;167002;115140;181146;48203;36199;10472;294030;131002;369928;148682;201511;378421;192368;105852;223612
818493;689155;239867;25599;90924;23081;28644;25002;68043;167089;166582;115373;180710;48105;36320;10400;292991;130816;367907;147952;200833;376898;191607;105705;223209
818493;689155;239867;25599;90924;23081;28644;25002;68043;167089;166582;115373;180710;48105;36320;10400;292991;130816;367907;147952;200833;376898;191607;105705;223209
818493;689155;239867;25599;90924;23081;28644;25002;68043;167089;166582;115373;180710;48105;36320;10400;292991;130816;367907;147952;200833;376898;191607;105705;223209
817621;688445;239619;25575;90689;23090;28591;25071;68007;166565;166564;115557;180250;48152;36278;10367;292662;130680;367166;147957;200557;376373;191198;105640;222852
817621;688445;239619;25575;90689;23090;28591;25071;68007;166565;166564;115557;180250;48152;36278;10367;292662;130680;367166;147957;200557;376373;191198;105640;222852
817621;688445;239619;25575;90689;23090;28591;25071;68007;166565;166564;115557;180250;48152;36278;10367;292662;130680;367166;147957;200557;376373;191198;105640;222852
817621;688445;239619;25575;90689;23090;28591;25071;68007;166565;166564;115557;180250;48152;36278;10367;292662;130680;367166;147957;200557;376373;191198;105640;222852
814951;686750;238654;25539;90372;23020;28453;25027;67742;165633;166349;115518;179814;48076;36159;10302;291947;130468;365763;147270;199628;375250;190467;105312;221351
814951;686750;238654;25539;90372;23020;28453;25027;67742;165633;166349;115518;179814;48076;36159;10302;291947;130468;365763;147270;199628;375250;190467;105312;221351
814951;686750;238654;25539;90372;23020;28453;25027;67742;165633;166349;115518;179814;48076;36159;10302;291947;130468;365763;147270;199628;375250;190467;105312;221351
