"CubeId";"snbcurrp"
"PublishingDate";"2017-05-31 09:00"

"Date";"D0";"D1";"Value"
"2007-Q3";"WDD";"GBP";"11.49221768"
"2007-Q3";"WDD";"CAD";"2.36997991"
"2007-Q3";"WDD";"U";"2.43863364"
"2007-Q3";"WDD";"T";"100"
"2007-Q4";"WDD";"USD";"30.85544812"
"2007-Q4";"WDD";"EUR";"45.56089474"
"2007-Q4";"WDD";"JPY";"6.91292515"
"2007-Q4";"WDD";"GBP";"11.840895"
"2007-Q4";"WDD";"CAD";"2.30579837"
"2007-Q4";"WDD";"U";"2.52403863"
"2007-Q4";"WDD";"T";"100"
"2008-Q1";"WDD";"USD";"28.1901647"
"2008-Q1";"WDD";"EUR";"46.34806251"
"2008-Q1";"WDD";"JPY";"9.68338304"
"2008-Q1";"WDD";"GBP";"10.78365915"
"2008-Q1";"WDD";"CAD";"2.37577191"
"2008-Q1";"WDD";"U";"2.61895869"
"2008-Q1";"WDD";"T";"100"
"2008-Q2";"WDD";"USD";"28.85969571"
"2008-Q2";"WDD";"EUR";"46.56968946"
"2008-Q2";"WDD";"JPY";"9.46538853"
"2008-Q2";"WDD";"GBP";"10.37963647"
"2008-Q2";"WDD";"CAD";"2.2138487"
"2008-Q2";"WDD";"U";"2.51174113"
"2008-Q2";"WDD";"T";"100"
"2008-Q3";"WDD";"USD";"27.75170955"
"2008-Q3";"WDD";"EUR";"46.6582313"
"2008-Q3";"WDD";"JPY";"9.65168989"
"2008-Q3";"WDD";"GBP";"11.15480158"
"2008-Q3";"WDD";"CAD";"2.19953228"
"2008-Q3";"WDD";"U";"2.5840354"
"2008-Q3";"WDD";"T";"100"
"2008-Q4";"WDD";"USD";"29.21001606"
"2008-Q4";"WDD";"EUR";"49.38355055"
"2008-Q4";"WDD";"JPY";"9.61086356"
"2008-Q4";"WDD";"GBP";"9.5395993"
"2008-Q4";"WDD";"CAD";"2.25453282"
"2008-Q4";"WDD";"U";"0.00143772"
"2008-Q4";"WDD";"T";"100"
"2009-Q1";"WDD";"USD";"26.83621175"
"2009-Q1";"WDD";"EUR";"54.94862755"
"2009-Q1";"WDD";"JPY";"7.75246777"
"2009-Q1";"WDD";"GBP";"8.52895519"
"2009-Q1";"WDD";"CAD";"1.93254274"
"2009-Q1";"WDD";"U";"0.001195"
"2009-Q1";"WDD";"T";"100"
"2009-Q2";"WDD";"USD";"26.50443089"
"2009-Q2";"WDD";"EUR";"59.64773749"
"2009-Q2";"WDD";"JPY";"5.94493743"
"2009-Q2";"WDD";"GBP";"6.49008395"
"2009-Q2";"WDD";"CAD";"1.41179014"
"2009-Q2";"WDD";"U";"0.0010201"
"2009-Q2";"WDD";"T";"100"
"2009-Q3";"WDD";"USD";"26.0434996"
"2009-Q3";"WDD";"EUR";"60.43825377"
"2009-Q3";"WDD";"JPY";"6.17125856"
"2009-Q3";"WDD";"GBP";"5.89526043"
"2009-Q3";"WDD";"CAD";"1.45067752"
"2009-Q3";"WDD";"U";"0.00105011"
"2009-Q3";"WDD";"T";"100"
"2009-Q4";"WDD";"USD";"30.12623065"
"2009-Q4";"WDD";"EUR";"58.11316636"
"2009-Q4";"WDD";"JPY";"5.33392717"
"2009-Q4";"WDD";"GBP";"5.15200799"
"2009-Q4";"WDD";"CAD";"1.27334597"
"2009-Q4";"WDD";"U";"0.00132186"
"2009-Q4";"WDD";"T";"100"
"2010-Q1";"WDD";"USD";"22.0626174"
"2010-Q1";"WDD";"EUR";"64.45176595"
"2010-Q1";"WDD";"JPY";"6.51329776"
"2010-Q1";"WDD";"GBP";"3.98948404"
"2010-Q1";"WDD";"CAD";"2.98178949"
"2010-Q1";"WDD";"U";"0.00104536"
"2010-Q1";"WDD";"T";"100"
"2010-Q2";"WDD";"USD";"21.45184461"
"2010-Q2";"WDD";"EUR";"70.55636956"
"2010-Q2";"WDD";"JPY";"3.85662259"
"2010-Q2";"WDD";"GBP";"2.41901223"
"2010-Q2";"WDD";"CAD";"1.71585519"
"2010-Q2";"WDD";"U";"0.00029581"
"2010-Q2";"WDD";"T";"100"
